LOCATION_ID,NAME,NAME_CODE,LOCATIONTYPE_ID,SOURCE_LOCATIONTYPE_NAME
1533,PRESTON,,1006,CITY
1534,QUEENSTOWN,,1006,CITY
1535,ROCK HALL,,1006,CITY
1536,ROMANCOKE,,1006,CITY
1537,SUDLERSVILLE,,1006,CITY
1538,SHARPTOWN,,1006,CITY
1539,SMITH ISLAND,,1006,CITY
1540,SNOW HILL,,1006,CITY
1541,SAINT MICHAELS,,1006,CITY
1542,STILL POND,,1006,CITY
1543,STEVENSVILLE,,1006,CITY
1544,WARREN,,1006,CITY
1545,MORRISTOWN,,1006,CITY
1546,CEDAR KNOLLS,,1006,CITY
1547,HACKENSACK,,1006,CITY
1548,WEST ORANGE,,1006,CITY
1549,ATLANTIC CITY,,1006,CITY
1550,PLEASANTVILLE -ATLAN,,1006,CITY
1551,CAMDEN,,1006,CITY
1552,HAMMONTON,,1006,CITY
1553,WYCKOFF,,1006,CITY
1554,ROCHELLE PARK,,1006,CITY
1555,WEST OSBORNSVILLE,,1006,CITY
1556,NEW BRUNSWICK,,1006,CITY
1557,BRIGANTINE,,1006,CITY
1558,FORKED RIVER,,1006,CITY
1559,CAPE MAY COURT HOUSE,,1006,CITY
1560,AVALON,,1006,CITY
1561,ABSECON,,1006,CITY
1562,BEACH HAVEN,,1006,CITY
1563,WESTFIELD,,1006,CITY
1564,BARNEGAT,,1006,CITY
1565,LITILE EGG HARBOR TO,,1006,CITY
1566,LOWER TOWNSHIP,,1006,CITY
1567,MAYS LANDING,,1006,CITY
1568,MIDDLE TOWNSHIP CAPE MAY,,1006,CITY
1569,MANAHAWKIN,,1006,CITY
1570,OCEAN CITY,,1006,CITY
1571,EGG HARBOR CITY,,1006,CITY
1572,EGG HARBOR,,1006,CITY
1573,ELMWOOD,,1006,CITY
1574,PLEASANTVILLE,,1006,CITY
1575,PLEASANTVILLE (ATLANTIC),,1006,CITY
1576,TETERBORO,,1006,CITY
1577,FREEHOLD,,1006,CITY
1578,PALERMO,,1006,CITY
1579,SEA ISLE CITY,,1006,CITY
1580,SOMERS POINT,,1006,CITY
1581,MANAHAWKIN (STAFFORD),,1006,CITY
1582,STAFFORD TOWNSHIP,,1006,CITY
1583,VENTNOR CITY,,1006,CITY
1584,WOODBINE,,1006,CITY
1585,WILDWOOD,,1006,CITY
1586,ALLENTOWN,,1006,CITY
1587,TRENTON,,1006,CITY
1588,BLACKWOOD,,1006,CITY
1589,BORDENTOWN,,1006,CITY
1590,PISCATAWAY,,1006,CITY
1591,BURLINGTON,,1006,CITY
1592,BROWNS MILLS,,1006,CITY
1593,CEDARVILLE,,1006,CITY
1594,BRIDGETON,,1006,CITY
1595,CLARKESBURG,,1006,CITY
1596,COLLINGSWOOD,,1006,CITY
1597,HAMILTON SQUARE,,1006,CITY
1598,NORRISTOWN,,1006,CITY
1599,PHILADELPHIA,,1006,CITY
1600,CINNAMINSON,,1006,CITY
1601,CHERRY HILL,,1006,CITY
1602,SURF CITY,,1006,CITY
1603,ELMER,,1006,CITY
1604,EWINGVILLE -MERCER,,1006,CITY
1605,TUCKAHOE,,1006,CITY
1606,FLORENCE - BURLINGTON,,1006,CITY
1607,VILLAS,,1006,CITY
1608,GLOUCESTER CITY,,1006,CITY
1609,HADDONFIELD,,1006,CITY
1610,HADDON HEIGHTS,,1006,CITY
1611,HIGHTSTOWN,,1006,CITY
1612,HOPEWELL  MERCER,,1006,CITY
1613,BRIDGEPORT,,1006,CITY
1614,LAMBERTVILLE,,1006,CITY
1615,LAUREL SPRINGS,,1006,CITY
1616,BERLIN,,1006,CITY
1617,MARLTON,,1006,CITY
1618,MAURICETOWN,,1006,CITY
1619,MERCERVILLE,,1006,CITY
1620,MEDFORD,,1006,CITY
1621,MERCHANTVILLE,,1006,CITY
1622,MULLICA HILL,,1006,CITY
1623,MILLVILLE - CUMBERLAN,,1006,CITY
1624,MANTUA,,1006,CITY
1625,MAPLE SHADE,,1006,CITY
1626,MT. LAUREL,,1006,CITY
1627,MOORESTOWN - BURLINGTON,,1006,CITY
1628,MOORESTOWN (BURLINGTON),,1006,CITY
1629,MOUNT HOLLY,,1006,CITY
1630,MOUNT LAUREL,,1006,CITY
1631,NEW EGYPT,,1006,CITY
1632,ORIENTAL,,1006,CITY
1633,PENNS GROVE,,1006,CITY
1634,PAULSBORO,,1006,CITY
1635,PEMBERTON,,1006,CITY
